component_id,order_id,component_type,status,result_flag,start_date,end_date,vendor_ref,jurisdiction,source_system,attempts,last_error_code,escalation_level,sla_target_hours,tat_hours,aging_hours,evidence_uri,provenance_hash,last_updated_at,created_at
104,21,REF,COMPLETED,FOUND,2025-04-03 00:03:03.531315+05:30,2025-04-03 04:03:03.531315+05:30,V-966,,EXTSYS,1,,0,24,4,,s3://evidence/21/ref_8134.pdf,f73c0fd956ad26223c1dd7c15f6282474a4a84934484fbe0f665ba8c3c935f30,2025-04-03 04:03:03.531315+05:30,2025-04-03 00:03:03.531315+05:30
105,22,ADDRESS,COMPLETED,NOT_FOUND,2025-04-04 21:46:03.531315+05:30,2025-04-05 14:46:03.531315+05:30,,IN-TN,,1,,0,24,17,,,,2025-04-05 14:46:03.531315+05:30,2025-04-04 21:46:03.531315+05:30
106,22,CRIM,COMPLETED,NOT_FOUND,2025-04-04 16:46:03.531315+05:30,2025-04-06 03:46:03.531315+05:30,V-773,IN-KA,API,1,,0,24,35,,,,2025-04-06 03:46:03.531315+05:30,2025-04-04 16:46:03.531315+05:30
107,22,IDCHECK,COMPLETED,FOUND,2025-04-04 22:46:03.531315+05:30,2025-04-05 07:46:03.531315+05:30,V-943,,API,3,,0,24,9,,s3://evidence/22/idcheck_8697.pdf,ebeb0d0c13c7301cddf4a934bbea6b83726cde52234b8bc28bf483fdb2259156,2025-04-05 07:46:03.531315+05:30,2025-04-04 22:46:03.531315+05:30
108,22,MVR,COMPLETED,NA,2025-04-04 20:46:03.531315+05:30,2025-04-06 00:46:03.531315+05:30,V-473,IN-DL,EXTSYS,3,,0,24,28,,,,2025-04-06 00:46:03.531315+05:30,2025-04-04 20:46:03.531315+05:30
109,23,CRIM,COMPLETED,FOUND,2025-04-04 21:04:03.531315+05:30,2025-04-05 11:04:03.531315+05:30,V-132,IN-TN,MANUAL,3,,0,24,14,,s3://evidence/23/crim_2810.pdf,71f0a797a701a4a723200ea238dc87d35db8146865add80c6720cba6d014ddae,2025-04-05 11:04:03.531315+05:30,2025-04-04 21:04:03.531315+05:30
110,23,DRUGTEST,COMPLETED,NA,2025-04-04 19:04:03.531315+05:30,2025-04-06 11:04:03.531315+05:30,V-391,,MANUAL,1,,0,24,40,,,,2025-04-06 11:04:03.531315+05:30,2025-04-04 19:04:03.531315+05:30
111,23,EDU,COMPLETED,NA,2025-04-04 19:04:03.531315+05:30,2025-04-06 11:04:03.531315+05:30,V-255,,EXTSYS,3,,0,24,40,,,,2025-04-06 11:04:03.531315+05:30,2025-04-04 19:04:03.531315+05:30
112,23,IDCHECK,COMPLETED,NOT_FOUND,2025-04-04 21:04:03.531315+05:30,2025-04-05 20:04:03.531315+05:30,V-487,,API,3,,0,24,23,,,,2025-04-05 20:04:03.531315+05:30,2025-04-04 21:04:03.531315+05:30
113,23,MVR,COMPLETED,NOT_FOUND,2025-04-04 17:04:03.531315+05:30,2025-04-05 19:04:03.531315+05:30,V-829,IN-TN,EXTSYS,2,,0,24,26,,,,2025-04-05 19:04:03.531315+05:30,2025-04-04 17:04:03.531315+05:30
114,23,REF,COMPLETED,NA,2025-04-04 20:04:03.531315+05:30,2025-04-05 03:04:03.531315+05:30,,,API,2,,0,24,7,,,,2025-04-05 03:04:03.531315+05:30,2025-04-04 20:04:03.531315+05:30
121,25,ADDRESS,COMPLETED,FOUND,2025-04-05 11:28:03.531315+05:30,2025-04-06 02:28:03.531315+05:30,,IN-GJ,MANUAL,1,,0,24,15,,s3://evidence/25/address_4377.pdf,f1d80d857d810236060f233a4f55679f4861691e2e224d1535d1d87594df11a8,2025-04-06 02:28:03.531315+05:30,2025-04-05 11:28:03.531315+05:30
122,25,CRIM,COMPLETED,NOT_FOUND,2025-04-05 11:28:03.531315+05:30,2025-04-05 13:28:03.531315+05:30,V-831,IN-KA,MANUAL,2,,0,24,2,,,,2025-04-05 13:28:03.531315+05:30,2025-04-05 11:28:03.531315+05:30
123,25,IDCHECK,COMPLETED,NA,2025-04-05 10:28:03.531315+05:30,2025-04-06 13:28:03.531315+05:30,V-835,,MANUAL,2,,0,24,27,,,,2025-04-06 13:28:03.531315+05:30,2025-04-05 10:28:03.531315+05:30
124,25,MVR,COMPLETED,NA,2025-04-05 12:28:03.531315+05:30,2025-04-05 18:28:03.531315+05:30,V-461,IN-UP,,1,,1,24,6,,,,2025-04-05 18:28:03.531315+05:30,2025-04-05 12:28:03.531315+05:30
125,26,ADDRESS,COMPLETED,NA,2025-04-06 02:58:03.531315+05:30,2025-04-06 21:58:03.531315+05:30,,IN-GJ,MANUAL,3,,1,24,19,,,,2025-04-06 21:58:03.531315+05:30,2025-04-06 02:58:03.531315+05:30
126,26,CRIM,COMPLETED,FOUND,2025-04-06 06:58:03.531315+05:30,2025-04-07 23:58:03.531315+05:30,V-125,IN-KA,,2,,1,24,41,,s3://evidence/26/crim_2859.pdf,08ac1604edae363baba8535fc2969c83e9cc54ae77c5a51e74cc87f65f3228f0,2025-04-07 23:58:03.531315+05:30,2025-04-06 06:58:03.531315+05:30
127,26,IDCHECK,COMPLETED,NA,2025-04-06 01:58:03.531315+05:30,2025-04-06 21:58:03.531315+05:30,V-933,,API,3,,1,24,20,,,,2025-04-06 21:58:03.531315+05:30,2025-04-06 01:58:03.531315+05:30
128,26,MVR,COMPLETED,NOT_FOUND,2025-04-06 06:58:03.531315+05:30,2025-04-07 19:58:03.531315+05:30,,IN-GJ,,3,,0,24,37,,,,2025-04-07 19:58:03.531315+05:30,2025-04-06 06:58:03.531315+05:30
129,27,CRIM,COMPLETED,NA,2025-04-07 23:58:03.531315+05:30,2025-04-08 04:58:03.531315+05:30,,IN-UP,,2,,0,24,5,,,,2025-04-08 04:58:03.531315+05:30,2025-04-07 23:58:03.531315+05:30
130,27,DRUGTEST,COMPLETED,NA,2025-04-08 02:58:03.531315+05:30,2025-04-09 09:58:03.531315+05:30,,,,2,,1,24,31,,,,2025-04-09 09:58:03.531315+05:30,2025-04-08 02:58:03.531315+05:30
131,27,EDU,COMPLETED,NA,2025-04-07 23:58:03.531315+05:30,2025-04-09 13:58:03.531315+05:30,V-464,,MANUAL,1,,1,24,38,,,,2025-04-09 13:58:03.531315+05:30,2025-04-07 23:58:03.531315+05:30
132,27,IDCHECK,COMPLETED,NA,2025-04-08 01:58:03.531315+05:30,2025-04-08 19:58:03.531315+05:30,V-351,,,2,,1,24,18,,,,2025-04-08 19:58:03.531315+05:30,2025-04-08 01:58:03.531315+05:30
133,27,MVR,COMPLETED,FOUND,2025-04-08 02:58:03.531315+05:30,2025-04-09 04:58:03.531315+05:30,,IN-DL,EXTSYS,2,,0,24,26,,s3://evidence/27/mvr_1957.pdf,8b8a061ec265e7bf0418fe1f3435355a6754155a7f0ebb77c3eb970af74eca4d,2025-04-09 04:58:03.531315+05:30,2025-04-08 02:58:03.531315+05:30
134,27,REF,COMPLETED,NOT_FOUND,2025-04-08 04:58:03.531315+05:30,2025-04-08 12:58:03.531315+05:30,V-571,,MANUAL,3,,1,24,8,,,,2025-04-08 12:58:03.531315+05:30,2025-04-08 04:58:03.531315+05:30
135,28,ADDRESS,COMPLETED,NA,2025-04-08 01:39:03.531315+05:30,2025-04-08 06:39:03.531315+05:30,,IN-KA,EXTSYS,3,,1,24,5,,,,2025-04-08 06:39:03.531315+05:30,2025-04-08 01:39:03.531315+05:30
136,28,CRIM,COMPLETED,NOT_FOUND,2025-04-08 00:39:03.531315+05:30,2025-04-09 07:39:03.531315+05:30,,IN-MH,,1,,0,24,31,,,,2025-04-09 07:39:03.531315+05:30,2025-04-08 00:39:03.531315+05:30
137,28,IDCHECK,COMPLETED,NOT_FOUND,2025-04-08 00:39:03.531315+05:30,2025-04-09 03:39:03.531315+05:30,V-104,,API,2,,0,24,27,,,,2025-04-09 03:39:03.531315+05:30,2025-04-08 00:39:03.531315+05:30
138,28,MVR,COMPLETED,NOT_FOUND,2025-04-08 01:39:03.531315+05:30,2025-04-08 17:39:03.531315+05:30,,IN-UP,,1,,0,24,16,,,,2025-04-08 17:39:03.531315+05:30,2025-04-08 01:39:03.531315+05:30
145,30,ADDRESS,COMPLETED,FOUND,2025-04-09 06:37:03.531315+05:30,2025-04-09 21:37:03.531315+05:30,V-725,IN-TN,,3,,1,24,15,,s3://evidence/30/address_8067.pdf,965eab33c029c6b175d8cc1ac09b58a59930efbb0330221fc12fa0a3cfd9c6e5,2025-04-09 21:37:03.531315+05:30,2025-04-09 06:37:03.531315+05:30
146,30,CRIM,COMPLETED,FOUND,2025-04-09 03:37:03.531315+05:30,2025-04-10 15:37:03.531315+05:30,,IN-MH,MANUAL,2,,0,24,36,,s3://evidence/30/crim_1555.pdf,36f210ed3f1c117bd6aa7267410acd819afc36590e97b5d2cae1fec4e0df9458,2025-04-10 15:37:03.531315+05:30,2025-04-09 03:37:03.531315+05:30
147,30,IDCHECK,COMPLETED,NA,2025-04-09 08:37:03.531315+05:30,2025-04-10 04:37:03.531315+05:30,V-268,,MANUAL,2,,1,24,20,,,,2025-04-10 04:37:03.531315+05:30,2025-04-09 08:37:03.531315+05:30
148,30,MVR,COMPLETED,NA,2025-04-09 08:37:03.531315+05:30,2025-04-10 03:37:03.531315+05:30,,IN-MH,,3,,0,24,19,,,,2025-04-10 03:37:03.531315+05:30,2025-04-09 08:37:03.531315+05:30
153,32,ADDRESS,COMPLETED,FOUND,2025-04-09 21:41:03.531315+05:30,2025-04-11 04:41:03.531315+05:30,,IN-TN,MANUAL,1,,1,24,31,,s3://evidence/32/address_7199.pdf,e3bf3717caf336f0237bba8afc654c52231febe42a3f55a20a1c1c211f69bfff,2025-04-11 04:41:03.531315+05:30,2025-04-09 21:41:03.531315+05:30
154,32,CRIM,COMPLETED,FOUND,2025-04-09 19:41:03.531315+05:30,2025-04-11 03:41:03.531315+05:30,,IN-DL,MANUAL,1,,0,24,32,,s3://evidence/32/crim_2850.pdf,8e23cdcbc9472a9fd8defbf0fd07dc5fa045b297e14f5aa28d8f52349ab7ce43,2025-04-11 03:41:03.531315+05:30,2025-04-09 19:41:03.531315+05:30
155,32,IDCHECK,COMPLETED,NA,2025-04-09 17:41:03.531315+05:30,2025-04-11 07:41:03.531315+05:30,V-539,,,3,,1,24,38,,,,2025-04-11 07:41:03.531315+05:30,2025-04-09 17:41:03.531315+05:30
156,32,MVR,COMPLETED,NOT_FOUND,2025-04-09 17:41:03.531315+05:30,2025-04-11 08:41:03.531315+05:30,,IN-KA,MANUAL,2,,1,24,39,,,,2025-04-11 08:41:03.531315+05:30,2025-04-09 17:41:03.531315+05:30
